bbref_id,nba_id
/players/j/johnsed03.html,698
/players/j/johnsra01.html,77139
/players/j/johnsjo02.html,2207
/players/j/johnsge01.html,77147
/players/h/hendeke01.html,76994
/players/h/hendece01.html,76990
/players/h/hendece02.html,1538
/players/h/hendeto01.html,76996
/players/h/hendege01.html,76993
/players/h/hendege02.html,201945
/players/h/hendeal01.html,673
/players/h/hendejr01.html,1764
/players/h/hendeje01.html,76992
/players/z/zellega01.html,78641
/players/z/zelleha01.html,78642
/players/z/zellelu01.html,202545
/players/z/zelleco01.html,203469
/players/z/zellety01.html,203092
/players/s/stallbu01.html,78239
/players/g/gunthco01.html,76905
/players/b/brittda01.html,76261
/players/g/greenda01.html,76881
/players/d/davisma01.html,76528
/players/d/davisma02.html,707
/players/j/jonesma02.html,90000
/players/j/jonesma03.html,2891
/players/m/maconma01.html,1855
/players/w/westma01.html,770
/players/c/crowma01.html,76481
/players/b/bryanma01.html,95
/players/h/hendrma01.html,971
/players/a/aguirma01.html,76016
/players/b/bakerla01.html,1858
/players/r/radfoma01.html,77896
/players/a/alarima01.html,76019
/players/l/landsma01.html,77334
/players/e/eatonma01.html,76631
/players/p/pricema01.html,899
/players/o/olberma01.html,77756
/players/b/bradtma01.html,1361
/players/m/mcnamma01.html,77558
/players/s/stricma01.html,1110
/players/r/randama01.html,1821
/players/j/jacksma01.html,349
/players/w/workmma01.html,78616
/players/m/madsema01.html,2058
/players/p/popema01.html,998
/players/w/wadema01.html,78426
/players/b/blounma01.html,1548
/players/s/siblema01.html,78145
/players/a/acresma01.html,76009
/players/s/smithgr01.html,78190
/players/s/smithgr02.html,202962
/players/a/andergr01.html,246
/players/l/leegr01.html,77360
/players/j/jacksgr01.html,77101
/players/b/butlegr01.html,76320
/players/k/kitegr01.html,1123
/players/s/stiemgr01.html,201880
/players/h/hydergr01.html,77091
/players/k/kelsegr01.html,77239
/players/f/fillmgr01.html,76715
/players/a/anthogr01.html,21
/players/o/ostergr01.html,731
/players/h/howargr01.html,77066
/players/f/fostegr01.html,323
/players/b/bunchgr01.html,76300
/players/b/buckngr01.html,1761
/players/b/ballagr01.html,76091
/players/s/suttogr01.html,357
/players/s/stokegr01.html,78264
/players/o/odengr01.html,201141
/players/d/dreilgr01.html,1068
/players/m/monrogr01.html,202328
/players/d/deanegr01.html,76544
/players/g/grahagr01.html,37
/players/g/grantgr01.html,285
/players/g/griffgr01.html,76888
/players/p/paytoga02.html,1627780
/players/p/phillga01.html,77855
/players/p/plummga01.html,77865
/players/b/brokaga01.html,76263
/players/p/paytoga01.html,56
/players/b/bergega01.html,76156
/players/n/nealga01.html,202390
/players/g/grayga01.html,76859
/players/f/forbega01.html,201814
/players/g/grantga01.html,202
/players/c/clarkga01.html,1629109
/players/g/garlaga01.html,76781
/players/t/trentga01.html,718
/players/f/freemga01.html,76755
/players/v/vocega01.html,78419
/players/a/alcorga01.html,76020
/players/m/melchga01.html,77575
/players/g/gregoga01.html,76883
/players/h/harriga01.html,203914
/players/s/suitega01.html,78277
/players/b/braddga01.html,76227
/players/t/trentga02.html,1629018
/players/l/leonaga01.html,77370
/players/a/alexaga01.html,76022
/players/h/hillga01.html,77026
/players/b/barneha01.html,76103
/players/d/davisha01.html,76523
/players/m/milleha01.html,77600
/players/d/donovha01.html,76585
/players/b/boykoha01.html,76224
/players/g/gallaha01.html,76773
/players/g/gilesha01.html,1628385
/players/j/jackslu02.html,2739
/players/r/rackllu01.html,77894
/players/w/waltolu01.html,2575
/players/k/kornelu01.html,1628436
/players/h/haranlu01.html,202376
/players/b/babbilu01.html,202337
/players/k/kennalu01.html,1628379
/players/r/ridnolu01.html,2557
/players/s/schenlu01.html,101195
/players/w/wittelu01.html,78603
/players/m/martico01.html,1628998
/players/d/davisty01.html,1629093
/players/d/dorsety01.html,1628416
/players/c/cookty01.html,1629076
/players/l/lydonty01.html,1628399
/players/c/cavanty01.html,1628463
/players/e/ennisty01.html,203898
/players/h/honeyty01.html,202715
/players/h/herroty01.html,1629639
/players/h/hansbty01.html,201946
/players/u/ulisty01.html,1627755
/players/v/vanarto01.html,78399
/players/m/marshto01.html,77467
/players/b/burleto01.html,76305
/players/a/abernto01.html,76005
/players/b/blackto01.html,76175
/players/b/bosweto01.html,76213
/players/g/garrito01.html,76790
/players/s/sewelto01.html,78116
/players/p/piotrto01.html,77863
/players/k/kroppto01.html,77314
/players/k/kellyto01.html,77238
/players/m/meschto01.html,77584
/players/g/golato01.html,76828
/players/h/hawkito01.html,76977
